Temperature scaling results
T=0.1000 AUPRC=0.6323 FPR95=93.3862
T=0.2000 AUPRC=0.8730 FPR95=91.1558
T=0.3000 AUPRC=1.0287 FPR95=88.4915
T=0.4000 AUPRC=1.1619 FPR95=83.2670
T=0.5000 AUPRC=1.2804 FPR95=66.7493
T=0.6000 AUPRC=1.3658 FPR95=53.6341
T=0.7000 AUPRC=1.4485 FPR95=52.1223
T=0.8000 AUPRC=1.5406 FPR95=51.5257
T=0.9000 AUPRC=1.6416 FPR95=50.9726
T=1.0000 AUPRC=1.7494 FPR95=50.6275
T=1.1000 AUPRC=1.8620 FPR95=50.1973
T=1.2000 AUPRC=1.9750 FPR95=49.9428
T=1.3000 AUPRC=2.0857 FPR95=49.6603
T=1.4000 AUPRC=2.1922 FPR95=49.4178
T=1.5000 AUPRC=2.2926 FPR95=49.1470
T=1.6000 AUPRC=2.3862 FPR95=48.8637
T=1.7000 AUPRC=2.4726 FPR95=48.6300
T=1.8000 AUPRC=2.5514 FPR95=48.4062
T=1.9000 AUPRC=2.6229 FPR95=48.1658
T=2.0000 AUPRC=2.6875 FPR95=47.9423
BEST T=2.0000 AUPRC=2.6875 FPR95=47.9423

