Temperature scaling results
T=0.1000 AUPRC=3.7166 FPR95=93.4040
T=0.2000 AUPRC=4.8399 FPR95=91.0164
T=0.3000 AUPRC=5.6111 FPR95=87.0243
T=0.4000 AUPRC=6.2116 FPR95=75.9545
T=0.5000 AUPRC=6.6020 FPR95=43.4811
T=0.6000 AUPRC=6.7627 FPR95=42.9760
T=0.7000 AUPRC=6.9104 FPR95=42.6504
T=0.8000 AUPRC=7.0784 FPR95=42.3679
T=0.9000 AUPRC=7.2669 FPR95=42.0742
T=1.0000 AUPRC=7.4729 FPR95=41.8464
T=1.1000 AUPRC=7.6911 FPR95=41.6287
T=1.2000 AUPRC=7.9171 FPR95=41.4570
T=1.3000 AUPRC=8.1464 FPR95=41.3199
T=1.4000 AUPRC=8.3741 FPR95=41.2413
T=1.5000 AUPRC=8.5963 FPR95=41.1890
T=1.6000 AUPRC=8.8098 FPR95=41.1417
T=1.7000 AUPRC=9.0118 FPR95=41.1246
T=1.8000 AUPRC=9.2014 FPR95=41.1617
T=1.9000 AUPRC=9.3779 FPR95=41.2061
T=2.0000 AUPRC=9.5411 FPR95=41.2788
BEST T=2.0000 AUPRC=9.5411 FPR95=41.2788

