Temperature scaling results
T=0.1000 AUPRC=10.4361 FPR95=94.6739
T=0.2000 AUPRC=10.9516 FPR95=94.1522
T=0.3000 AUPRC=11.4339 FPR95=93.2028
T=0.4000 AUPRC=11.8988 FPR95=90.5362
T=0.5000 AUPRC=12.1876 FPR95=82.0207
T=0.6000 AUPRC=12.2551 FPR95=82.1422
T=0.7000 AUPRC=12.2967 FPR95=82.2760
T=0.8000 AUPRC=12.3398 FPR95=82.3570
T=0.9000 AUPRC=12.3821 FPR95=82.4513
T=1.0000 AUPRC=12.4226 FPR95=82.5771
T=1.1000 AUPRC=12.4605 FPR95=82.7341
T=1.2000 AUPRC=12.4950 FPR95=82.9048
T=1.3000 AUPRC=12.5259 FPR95=83.0860
T=1.4000 AUPRC=12.5530 FPR95=83.2808
T=1.5000 AUPRC=12.5763 FPR95=83.4904
T=1.6000 AUPRC=12.5960 FPR95=83.7020
T=1.7000 AUPRC=12.6125 FPR95=83.9217
T=1.8000 AUPRC=12.6260 FPR95=84.1402
T=1.9000 AUPRC=12.6368 FPR95=84.3508
T=2.0000 AUPRC=12.6454 FPR95=84.5648
BEST T=2.0000 AUPRC=12.6454 FPR95=84.5648

