Temperature scaling results
T=0.1000 AUPRC=19.8490 FPR95=93.4809
T=0.2000 AUPRC=22.8716 FPR95=91.3289
T=0.3000 AUPRC=24.8674 FPR95=87.1240
T=0.4000 AUPRC=26.4288 FPR95=62.9556
T=0.5000 AUPRC=27.0523 FPR95=62.7326
T=0.6000 AUPRC=27.4972 FPR95=62.6233
T=0.7000 AUPRC=27.9344 FPR95=62.5225
T=0.8000 AUPRC=28.3513 FPR95=62.4758
T=0.9000 AUPRC=28.7374 FPR95=62.4730
T=1.0000 AUPRC=29.0852 FPR95=62.5553
T=1.1000 AUPRC=29.3909 FPR95=62.6570
T=1.2000 AUPRC=29.6542 FPR95=62.8111
T=1.3000 AUPRC=29.8772 FPR95=63.0200
T=1.4000 AUPRC=30.0628 FPR95=63.2364
T=1.5000 AUPRC=30.2148 FPR95=63.4764
T=1.6000 AUPRC=30.3365 FPR95=63.7462
T=1.7000 AUPRC=30.4319 FPR95=64.0410
T=1.8000 AUPRC=30.5047 FPR95=64.3540
T=1.9000 AUPRC=30.5583 FPR95=64.7006
T=2.0000 AUPRC=30.5961 FPR95=65.0365
BEST T=2.0000 AUPRC=30.5961 FPR95=65.0365

