Temperature scaling results
T=0.1000 AUPRC=1.2299 FPR95=93.7449
T=0.2000 AUPRC=1.7345 FPR95=91.4461
T=0.3000 AUPRC=2.1223 FPR95=86.7364
T=0.4000 AUPRC=2.3261 FPR95=78.1075
T=0.5000 AUPRC=2.4207 FPR95=63.2251
T=0.6000 AUPRC=2.4825 FPR95=63.2932
T=0.7000 AUPRC=2.5390 FPR95=63.9531
T=0.8000 AUPRC=2.5962 FPR95=64.3330
T=0.9000 AUPRC=2.6539 FPR95=64.7623
T=1.0000 AUPRC=2.7107 FPR95=65.2412
T=1.1000 AUPRC=2.7638 FPR95=65.8713
T=1.2000 AUPRC=2.8126 FPR95=66.5068
T=1.3000 AUPRC=2.8566 FPR95=67.1596
T=1.4000 AUPRC=2.8949 FPR95=67.8641
T=1.5000 AUPRC=2.9270 FPR95=68.7035
T=1.6000 AUPRC=2.9529 FPR95=69.4691
T=1.7000 AUPRC=2.9728 FPR95=70.2687
T=1.8000 AUPRC=2.9875 FPR95=71.1615
T=1.9000 AUPRC=2.9974 FPR95=71.9563
T=2.0000 AUPRC=3.0035 FPR95=72.6979
BEST T=2.0000 AUPRC=3.0035 FPR95=72.6979

